VendorRaw,VendorName_Clean
STAPLES,Staples
Staples Inc,Staples
"Staples, Inc.",Staples
OmegaAir,Omega Air
OMEGA AIR,Omega Air
City of Spokane Water,City Water Utility
Spokane Water Dept,City Water Utility
Amazon Marketplace,Amazon Marketplace
AMAZON MKTPLACE,Amazon Marketplace
ACME LOGISTICS,Acme Logistics
Acme Logistix,Acme Logistics
Beta Consulting,Beta Consulting LLC
BETA CONSULTING LLC,Beta Consulting LLC
GlobexSoft,Globex Software
GLOBEX SOFTWARE,Globex Software
UPS 0039,United Parcel Service
U.P.S.,United Parcel Service
