"OrderDate,Country,City,Product,Segment,Revenue,Cost,Profit,DiscountPct"
"2026-11-14,France,Paris,Consulting Hour,Enterprise,5044.99,2399.20,2645.79,0.01"
"2026-1-13,Japan,Kyoto,Consulting Hour,Government,2737.07,1153.47,1583.60,0.05"
"2026-5-3,France,Paris,Training Pack,Government,4492.01,2927.65,1564.36,0.05"
"2026-3-25,Japan,Tokyo,Audit Software A,Small Business,3419.39,1880.17,1539.22,0.10"
"2026-9-26,Germany,Hamburg,Cloud Storage,Enterprise,3533.32,2083.32,1450.00,0.18"
"2026-12-14,Germany,Berlin,Tax Prep V2,Small Business,821.38,505.90,315.48,0.13"
"2026-7-9,Germany,Berlin,Audit Software A,Government,4225.19,1693.93,2531.26,0.20"
"2026-10-13,Japan,Kyoto,Training Pack,Small Business,4791.59,3328.41,1463.18,0.14"
"2026-5-20,France,Paris,Cloud Storage,Enterprise,4719.54,3288.25,1431.29,0.14"
"2026-6-13,Japan,Kyoto,Consulting Hour,Enterprise,3144.98,1617.40,1527.58,0.05"
"2026-7-5,Japan,Osaka,Consulting Hour,Small Business,3018.71,2026.73,991.98,0.17"
"2026-11-8,Japan,Kyoto,Cloud Storage,Enterprise,1106.56,686.89,419.67,0.08"
"2026-1-26,France,Nice,Audit Software A,Enterprise,3580.79,2175.19,1405.60,0.19"
"2026-4-1,France,Paris,Audit Software A,Enterprise,2505.11,1275.05,1230.06,0.06"
"2026-2-5,France,Paris,Training Pack,Government,1922.36,818.17,1104.19,0.02"
"2026-10-28,France,Nice,Training Pack,Enterprise,680.73,319.60,361.13,0.03"
"2026-3-23,France,Nice,Audit Software A,Small Business,4363.26,2217.98,2145.28,0.04"
"2026-4-7,USA,New York,Training Pack,Government,1017.20,514.23,502.97,0.04"
"2026-12-6,Germany,Hamburg,Training Pack,Government,4576.06,2464.28,2111.78,0.00"
"2026-2-6,Japan,Osaka,Cloud Storage,Small Business,655.47,437.67,217.80,0.12"
"2026-8-27,Germany,Munich,Consulting Hour,Government,1718.00,855.51,862.49,0.14"
"2026-10-23,USA,New York,Training Pack,Enterprise,2700.16,1691.48,1008.68,0.06"
"2026-6-13,Germany,Hamburg,Training Pack,Small Business,4871.60,3083.62,1787.98,0.18"
"2026-2-8,USA,Chicago,Tax Prep V2,Government,2047.90,1147.43,900.47,0.19"
"2026-7-11,USA,New York,Cloud Storage,Government,2407.39,1314.40,1092.99,0.20"
"2026-3-8,France,Lyon,Tax Prep V2,Small Business,3656.78,1812.65,1844.13,0.17"
"2026-12-22,France,Paris,Audit Software A,Enterprise,5314.81,2210.72,3104.09,0.10"
"2026-2-5,France,Nice,Training Pack,Enterprise,4914.91,2180.24,2734.67,0.17"
"2026-12-18,USA,Seattle,Consulting Hour,Enterprise,1191.68,792.11,399.57,0.02"
"2026-12-10,France,Lyon,Tax Prep V2,Government,2647.16,1646.35,1000.81,0.14"
"2026-8-26,USA,Chicago,Training Pack,Small Business,5061.48,2870.18,2191.30,0.09"
"2026-12-2,Germany,Berlin,Audit Software A,Enterprise,1123.87,698.44,425.43,0.02"
"2026-8-1,USA,Chicago,Consulting Hour,Government,4830.11,2813.68,2016.43,0.03"
"2026-5-25,Japan,Tokyo,Consulting Hour,Small Business,1919.53,803.95,1115.58,0.04"
"2026-6-22,USA,Chicago,Training Pack,Enterprise,3395.17,2043.09,1352.08,0.15"
