Question,Category
Q5,Accountability
Q6,Communication
Q6B,Communication
Q7,Compensation
Q8,Work Life Balance
Q9,Management Performance
Q10,Accountability
Q11,Culture
Q12,Compensation
Q13,Communication
Q14,Work Life Balance
Q15,Accountability
Q16,Management on Associates
Q17,Compensation
Q18,Communication
Q19,Culture
Q20,Management Performance
Q21,Management on Associates
Q22,Accountability
Q23,Culture
Q24,Work Life Balance
Q24B,Work Life Balance
Q25,Management on Associates
Q26,Communication
Q27,Culture
Q28,Compensation
Q29,Management Performance
Q30,Management on Associates
Q31,Management Performance
Q32,Work Life Balance
